,City,Lat,Long,Max Tem,Humidity,Cloudiness,Wind Speed,Country,Date
0,Thompson,55.7435,55.7435,65.53,74,100,9.24,CA,1659114078
1,Putina,-15.4667,-15.4667,50.09,35,6,5.19,PE,1659114134
2,Sandanski,41.5667,41.5667,83.26,48,68,3.74,BG,1659114135
3,Bredasdorp,-34.5322,-34.5322,50.85,72,100,11.27,ZA,1659114135
4,Neryungri,56.6709,56.6709,54.46,88,0,5.97,RU,1659114136
5,Imbituba,-28.24,-28.24,67.86,52,5,18.99,BR,1659114137
6,Upernavik,72.7868,72.7868,42.51,75,100,8.01,GL,1659114138
7,Rikitea,-23.1203,-23.1203,72.55,74,5,18.52,PF,1659113862
8,Hasaki,35.7333,35.7333,77.29,91,31,7.31,JP,1659113929
9,Yellowknife,62.456,62.456,61.14,43,100,6.4,CA,1659114140
10,Lebu,-37.6167,-37.6167,50.88,77,0,22.91,CL,1659114141
11,Weymouth,42.2209,42.2209,92.21,43,40,11.5,US,1659114141
12,Arraial Do Cabo,-22.9661,-22.9661,91.36,39,0,17.27,BR,1659113876
13,Jamestown,42.097,42.097,78.03,42,40,9.22,US,1659114138
14,Georgetown,5.4112,5.4112,84.13,89,20,3.44,MY,1659113998
15,Ushuaia,-54.8,-54.8,38.86,75,20,6.91,AR,1659113983
16,Hermanus,-34.4187,-34.4187,51.8,68,88,17.74,ZA,1659114143
17,Hobart,-42.8794,-42.8794,41.05,84,96,8.05,AU,1659113874
18,Avarua,-21.2078,-21.2078,73.45,83,75,9.22,CK,1659114145
19,Uruzgan,32.8333,32.8333,86.2,34,9,7.45,AF,1659114028
20,Bubaque,11.2833,11.2833,79.5,78,65,17.78,GW,1659113898
21,Nioro,13.35,13.35,85.87,63,100,12.12,GM,1659114147
22,Butaritari,3.0707,3.0707,81.48,75,6,12.86,KI,1659114148
23,Busselton,-33.65,-33.65,53.01,63,95,23.82,AU,1659114149
24,Yar-Sale,66.8333,66.8333,67.55,55,25,8.03,RU,1659114149
25,Albany,42.6001,42.6001,88.18,40,52,1.99,US,1659113931
26,Novo Aripuana,-5.1206,-5.1206,97.21,23,2,4.47,BR,1659114150
27,Kapaa,22.0752,22.0752,75.18,97,53,6.42,US,1659114151
28,Shache,38.4167,38.4167,81.5,33,96,29.51,CN,1659114152
29,Ponta Do Sol,32.6667,32.6667,81.72,71,0,3.6,PT,1659113935
30,Saint Andrews,34.0454,34.0454,94.24,59,75,10.36,US,1659114153
31,Uvalde,29.3669,29.3669,93.31,33,0,10.36,US,1659114154
32,San Patricio,28.017,28.017,94.86,44,32,15.12,US,1659114155
33,Kasongo,-4.45,-4.45,74.34,65,100,4.74,CD,1659114155
34,Naryan-Mar,67.6713,67.6713,54.32,76,64,12.46,RU,1659114156
35,Talalayivka,50.9578,50.9578,70.0,60,38,6.85,UA,1659114157
36,Saskylakh,71.9167,71.9167,59.88,78,100,3.42,RU,1659114157
37,Pevek,69.7008,69.7008,43.54,76,8,15.14,RU,1659113875
38,Hithadhoo,-0.6,-0.6,81.09,77,100,19.06,MV,1659114158
39,Vaini,-21.2,-21.2,76.42,69,39,20.74,TO,1659114159
40,Souillac,-20.5167,-20.5167,70.18,73,75,16.11,MU,1659113901
41,Port-Gentil,-0.7193,-0.7193,76.96,73,100,11.5,GA,1659114160
42,Svetlyy,54.675,54.675,66.25,54,85,9.78,RU,1659114161
43,Cape Town,-33.9258,-33.9258,56.26,75,100,1.01,ZA,1659114161
44,Saint-Philippe,-21.3585,-21.3585,71.19,76,36,11.18,RE,1659113904
45,Vila,42.0304,42.0304,77.7,44,0,7.56,PT,1659114164
46,Iqaluit,63.7506,63.7506,49.69,71,100,3.0,CA,1659114165
47,Inongo,-1.95,-1.95,74.62,61,45,4.43,CD,1659114140
48,East London,-33.0153,-33.0153,59.94,77,0,6.91,ZA,1659113899
49,Chokurdakh,70.6333,70.6333,50.0,89,100,7.56,RU,1659114167
50,Nanortalik,60.1432,60.1432,48.09,77,13,13.71,GL,1659114167
51,Yuli,9.6989,9.6989,72.41,94,90,4.72,NG,1659114168
52,Tashtyp,52.7939,52.7939,58.06,75,49,0.87,RU,1659114168
53,Cabo San Lucas,22.8909,22.8909,91.18,60,62,3.42,MX,1659114010
54,Punta Arenas,-53.15,-53.15,42.82,81,0,29.93,CL,1659113929
55,Castro,-24.7911,-24.7911,62.53,43,43,10.4,BR,1659114169
56,Bulnes,-36.7423,-36.7423,56.3,52,0,12.95,CL,1659114170
57,Pilar,-9.5972,-9.5972,82.33,75,89,6.69,BR,1659114156
58,Longyearbyen,78.2186,78.2186,48.04,71,75,2.3,SJ,1659114171
59,Dikson,73.5069,73.5069,41.77,98,97,6.93,RU,1659114171
