City_ID,City,Lat,Lon,Max Tem,Humidity,Cloudiness,Wind Speed,Country,Date
0,Albany,42.6001,-73.9662,74.26,66,2,4.21,US,1659532511
1,Puyo,-1.4667,-77.9833,67.24,94,75,0.0,EC,1659532605
2,Ruzomberok,49.0748,19.3075,81.0,29,6,3.76,SK,1659532494
3,Vuktyl,63.8567,57.3094,79.23,34,6,9.31,RU,1659532606
4,Busselton,-33.65,115.3333,54.32,73,100,17.74,AU,1659532606
5,Ponta Do Sol,32.6667,-17.1,82.71,67,0,1.9,PT,1659532607
6,Punta Arenas,-53.15,-70.9167,39.31,87,75,8.05,CL,1659532351
7,Saldanha,-33.0117,17.9442,57.49,72,0,11.05,ZA,1659532607
8,Kapaa,22.0752,-159.319,77.32,88,20,13.8,US,1659532608
9,San Patricio,28.017,-97.5169,85.89,75,96,13.38,US,1659532608
10,Saint-Philippe,-21.3585,55.7679,72.99,83,58,11.18,RE,1659532608
11,Vila Velha,-20.3297,-40.2925,80.55,75,40,3.44,BR,1659532609
12,Rikitea,-23.1203,-134.9692,72.54,72,57,15.7,PF,1659532609
13,Castro,-24.7911,-50.0119,67.73,58,0,5.75,BR,1659532610
14,Hobart,-42.8794,147.3294,54.27,78,40,1.99,AU,1659532610
15,Guryevsk,54.2833,85.9333,60.89,66,0,6.08,RU,1659532611
16,Hammerfest,70.6634,23.6821,66.65,63,0,5.75,NO,1659532496
17,Tuktoyaktuk,69.4541,-133.0374,48.2,93,75,9.22,CA,1659532611
18,Talcahuano,-36.7167,-73.1167,37.08,93,75,4.61,CL,1659532612
19,Bilibino,68.0546,166.4372,54.05,95,100,2.42,RU,1659532612
20,Flin Flon,54.7682,-101.865,47.5,80,80,4.25,CA,1659532612
21,Warwick,41.7001,-71.4162,82.04,67,0,11.5,US,1659532594
22,Kenmare,51.8833,-9.5833,63.07,64,35,11.95,IE,1659532613
23,Port Alfred,-33.5906,26.891,69.19,63,100,1.99,ZA,1659532613
24,Awjilah,29.1081,21.2869,97.79,22,0,9.98,LY,1659532614
25,Provideniya,64.3833,-173.3,53.44,68,0,4.45,RU,1659532614
26,Chemax,20.65,-87.9333,79.23,88,28,2.98,MX,1659532615
27,Nouadhibou,20.931,-17.0347,76.98,73,100,11.5,MR,1659532615
28,Petropavlovsk-Kamchatskiy,53.0452,158.6483,52.39,100,40,6.71,RU,1659532615
29,Atuona,-9.8,-139.0333,77.65,72,2,16.2,PF,1659532616
30,Mahebourg,-20.4081,57.7,72.25,64,40,6.91,MU,1659532616
31,Cabo San Lucas,22.8909,-109.9124,81.52,70,0,6.91,MX,1659532461
32,Mar Del Plata,-38.0023,-57.5575,52.09,98,100,5.75,AR,1659532407
33,Fortuna,40.5982,-124.1573,57.34,92,18,3.78,US,1659532617
34,Tuatapere,-46.1333,167.6833,43.75,90,100,5.82,NZ,1659532617
35,Guerrero Negro,27.9769,-114.0611,69.37,90,15,12.28,MX,1659532618
36,Ostrovnoy,68.0531,39.5131,62.11,73,68,19.35,RU,1659532618
37,Lebu,-37.6167,-73.65,45.52,86,25,5.32,CL,1659532619
38,Upernavik,72.7868,-56.1549,44.73,77,54,2.93,GL,1659532619
39,Brae,60.3964,-1.353,53.82,92,100,13.15,GB,1659532619
40,Ati,13.2154,18.3353,90.68,45,100,11.23,TD,1659532620
41,Bambous Virieux,-20.3428,57.7575,72.21,64,40,6.91,MU,1659532620
42,Yellowknife,62.456,-114.3525,54.12,76,20,12.66,CA,1659532479
